IT SOURCE	EN SOURCE	GOOGLE TRANSLATE OOC	DEEPL OOC	MICROSOFT TRANSLATE OOC	IT SOURCE CONTEXT	EN GOLD STANDARD CONTEXT 	GOOGLE TRANSLATE IC	DEEPL IC	MICROSOFT TRANSLATE IC
tombe a cassa	chest tomb	box tombs	cash graves	cash graves	Uscendo dalla Grotta Fragapane proseguendo verso destra si raggiunge l'accesso posteriore di Villa Aurea, mentre procedendo a sinistra si giunge alla necropoli romana nota come Necropoli Giambertoni, costituita da tombe a cassa di pietra calcarea.	Leaving the Fragapane Grotto, continuing to the right, you reach the rear access of Villa Aurea, while proceeding to the left you reach the Roman necropolis known as the Giambertoni Necropolis, made up of limestone chest tombs.	Leaving the Fragapane Grotto, continuing to the right, you reach the rear access of Villa Aurea, while proceeding to the left you reach the Roman necropolis known as the Giambertoni Necropolis, made up of limestone chest tombs.	Leaving the Fragapane Cave, continuing to the right you reach the rear entrance of Villa Aurea, while proceeding to the left you reach the Roman necropolis known as the Giambertoni Necropolis, consisting of limestone box tombs.	Leaving the Fragapane Cave, continuing to the right, you reach the rear entrance of Villa Aurea, while proceeding to the left you reach the Roman necropolis known as the Giambertoni Necropolis, consisting of tombs with limestone case.
anse verticali ad anello	vertical ring handles	vertical ring loops	vertical loop loops	vertical ring loops	Coppa a bassa vasca emisferica con anse verticali ad anello sormontate da linguette orizzontali, orlo e piede distinti, decorata a rilievo.	The cup is characterized by a low hemispherical basin, vertical ring handles surmounted by horizontal tongues, a distinct rim and foot and a decoration in relief.	Low hemispherical bowl with vertical ring handles surmounted by horizontal tabs, distinct hem and foot, decorated in relief.	Low hemispherical bowl with vertical ring-shaped lugs surmounted by horizontal tabs, distinct hem and foot, decorated in relief.	Low-octpheric cup with vertical ring loops topped with horizontal tabs, hem and separate foot, decorated in relief.
piatti da pesce	fish plates	fish dishes	fish dishes	fish dishes	La rappresentazione di fauna marina, già diffusa sui piatti da pesce attici e soprattutto italioti, a figure rosse fu, in età ellenistica, sviluppata e arricchita.	The representation of red-figured marine fauna, already widespread on Attic and especially Italiot fish plates, was developed and enriched in Hellenistic times.	The representation of marine fauna, already widespread on Attic and above all Italiot fish plates, with red figures was, in the Hellenistic period, developed and enriched.	The representation of marine fauna, already widespread on the Attic fish dishes and above all Italiots, with red figures was, in the Hellenistic age, developed and enriched.	The representation of marine fauna, already widespread on the fish dishes penthouses and especially italian dishes, with red figures was, in the Hellenistic age, developed and enriched.
vasca carenata	carinated basin	faired tank	fairing bathtub	faired tub	La coppa quadriansata su alto piede, con orlo piatto, labbro verticale, vasca carenata, piede svasato profilato, cavo e fenestrato, presenta sul labbro due coppette tra cui vi è una applicazione plastica raffigurante un uomo che regge per le briglie due cavalli affrontati.	The goblet, which has four handles on a tall base with a flat border, vertical lip, carinated basin, flared and hollow stem decorated with small openings, presents on the brim two small cups between which there is a plastic ornament portraying a man that are holding by the reins two horses opposite each other.	The four-handled cup on a high foot, with flat rim, vertical lip, keeled tub, flared, profiled, hollow and fenestrated foot, has two cups on the lip including a plastic application depicting a man holding two facing horses by the bridle.	The four-sided cup on a high foot, with flat hem, vertical lip, keeled tub, flared profiled foot, hollow and fenestrated, has two small cups on the lip between which there is a plastic application depicting a man holding two faced horses by the bridle.	The quadcopching cup on high foot, with flat hem, vertical lip, faired tub, flared foot profiled, cable and fentanyl, has on the lip two cups including a plastic application depicting a man holding for the bridles two horses faced.
cornice di stucco rilevato con fregio a dentelli 	prominent stucco frame with a denticulate frieze	relief stucco frame with denticulated frieze	 stucco frame with notched decoration 	Stucco frame detected with frieze with denticles	Le partizioni laterali, a fondo rosso, sono ornate da quadretti con ville marittime; in quella centrale, con tappeto teso a fondo giallo, sono raffigurati una Menade e un Satiro danzante; una cornice di stucco rilevato con fregio a dentelli chiude in alto la partizione.	Small paintings depicting seaside villas adorn the side partitions on a red background; in the central partition a Maenad and a Satyr are dancing on a tight carpet used as a yellow background; a prominent stucco frame with a denticulate frieze closes the upper part of the partition.	The side partitions, with a red background, are decorated with small squares with maritime villas; in the central one, with a taut carpet with a yellow background, a Maenad and a dancing Satyr are depicted; a raised stucco frame with a denticulated frieze closes the partition at the top.	The side partitions, with a red background, are decorated with small squares with maritime villas; in the central one, with a stretched carpet with a yellow background, a maenad and a dancing satyr are depicted; a stucco frame with a notched frieze closes the partition at the top.	The side partitions, at the red bottom, are adorned with squares with maritime villas; in the central one, with a yellow-bottomed carpet, a Menade and a dancing Satyr are depicted; a stucco frame detected with frieze with denticles closes the partition at the top.
blocco di cornice a mensole	block of cornice with corbels	shelf frame block	block of shelf frame	shelf frame block	A seguito di un paziente lavoro di censimento condotto negli archivi del Museo Archeologico Nazionale di Altino, è stato possibile attribuire alla decorazione del frontescena del teatro uno dei pochissimi resti a noi pervenuti della grande architettura pubblica cittadina: un blocco di cornice a mensole, decorata da girali e foglie d’acanto, recuperato negli anni ’50 del secolo scorso nella località Campo Rialto. 	The painstaking census work conducted in the archives of the National Archaeological Museum of Altino, allowed one of the few remains of the town’s great public architecture, a block of cornice with corbels, decorated with spirals and acanthus leaves discovered in the 1950s in Campo Rialto, to be assigned to the decoration of the theatre’s scenae frons.   	Following a patient census carried out in the archives of the National Archaeological Museum of Altino, it was possible to attribute to the decoration of the theater front scene one of the very few remains of the great public architecture of the city that have survived: a block of corbel frame, decorated by spirals and acanthus leaves, recovered in the 1950s in the Campo Rialto area.	Following patient census work carried out in the archives of the National Archaeological Museum of Altino, it was possible to attribute to the decoration of the front of the theatre one of the very few remains of the city's great public architecture: a block of corbelled cornice, decorated with girals and acanthus leaves, recovered in the 1950s in Campo Rialto. 	Following a patient census work conducted in the archives of the National Archaeological Museum of Altino, it was possible to attribute to the decoration of the front of the theater one of the very few remains received to us of the great public architecture of the city: a block of frame with shelves, decorated with girali and acanthn leaves, recovered in the 50s of the last century in the locality Campo Rialto.
fibule ad occhiali	spectacle fibulas	eyeglass fibulae	fibulae with glasses	eyeglass fibules	Le fibule ad occhiali con cui le donne abbellivano le loro vesti, le armille (bracciali) e pendenti in oro e bronzo, le spade di guerrieri rinvenute in tombe a fossa delle vaste necropoli raccontano dei Choni-Enotri, che fra il IX e l'VIII sec. a.C. vivevano lungo la costa jonica (Santa Maria d'Anglona - l'antica Pandosia greca).	The spectacle fibulas that the women used to adorn their clothes, the armillas (bracelets) and gold and bronze pendants, and the warriors' swords discovered in pit graves in the huge necropolises portray the Choni-Oenotrians who lived along the Ionic coast (Santa Maria d'Anglona - the ancient Greek Pandosia) between the 5th and 8th centuries BC.	The fibulae with spectacles with which the women embellished their robes, the armilles (bracelets) and pendants in gold and bronze, the swords of warriors found in pit tombs of the vast necropolises tell of the Choni-Enotri, who lived along the Ionian coast between the 9th and 8th centuries B.C. (Santa Maria d'Anglona - the ancient Greek Pandosia).	The fibulae with spectacles with which the women embellished their robes, the armilles (bracelets) and pendants in gold and bronze, the swords of warriors found in pit tombs of the vast necropolises tell of the Choni-Enotri, who lived along the Ionian coast between the 9th and 8th centuries B.C. (Santa Maria d'Anglona - the ancient Greek Pandosia).	The goggle fibulas with which women embellished their robes, armille (bracelets) and pendants in gold and bronze, the swords of warriors found in pit graves of the vast necropolis tell of the Choni-Enotri, who between the 9th and 8th centuries BC lived along the Jonica coast (Santa Maria d'Anglona - the ancient Greek Pandona).
medaglione circolare	circular medallion	circular medallion	circular medallion	circular locket	Il pavimento del vano AF è decorato con un tappeto musivo dove è collocato un riquadro che circoscrive un medaglione circolare	Room AF is decorated with a mosaic floor in which a square is located: it circumscribes a circular medallion 	The floor of the AF compartment is decorated with a mosaic carpet where there is a square that circumscribes a circular medallion 	The floor of the AF compartment is decorated with a mosaic carpet where there is a box that circumscribes a circular medallion.	The floor of the AF compartment is decorated with a musk carpet where a box is placed that surrounds a circular medallion
mosaici pavimentali	mosaic floors	floor mosaics	floor mosaics	floor mosaics	Le stanze di maggior pregio erano AU e AT, entrambe contraddistinte da mosaici pavimentali.	The most important and valuable rooms were AU and AT, both distinguished by their mosaic floors.	The most valuable rooms were AU and AT, both characterized by floor mosaics.	The most valuable rooms were AU and AT, both characterised by floor mosaics.	The most valuable rooms were AU and AT, both marked by floor mosaics.
deposito archeologico	archaeological deposit	archaeological deposit	archaeological deposit	archaeological depot	ogni strato si sovrappone a quello successivo, determinando l'aspetto esteriore e la consistenza del deposito archeologico.	each layer covers the one the before it determining the exterior aspect and the consistency of the archaeological deposit.	each layer overlaps the next, determining the external appearance and consistency of the archaeological deposit.	each layer overlaps with the next one, determining the external appearance and consistency of the archaeological deposit.	each layer overlaps the next layer, determining the outward appearance and consistency of the archaeological deposit.
